OrphaCode,Definition,Phenotypes_Obligate,Phenotypes_Very_frequent,Phenotypes_Frequent,Phenotypes_Occasional,Prevalence,Prevalence_pmid,OMIM
199318,"A rare chromosomal anomaly characterized by a high risk for the occurrence of a wide range of neurodevelopmental anomalies including global developmental delay (DD), intellectual disability (ID), and behavioral issues of varying severity. 15q13.3 microdeletion does not lead to a clinically specific phenotype.",,,Intellectual disability (HP:0001249); Global developmental delay (HP:0001263),Microcephaly (HP:0000252); Macrocephaly (HP:0000256); Epicanthus (HP:0000286); Macrotia (HP:0000400); Protruding ear (HP:0000411); Strabismus (HP:0000486); Downslanted palpebral fissures (HP:0000494); Autism (HP:0000717); Melanocytic nevus (HP:0000995); Seizure (HP:0001250); Hypotonia (HP:0001252); Frontal bossing (HP:0002007); Clinodactyly of the 5th finger (HP:0004209); Short stature (HP:0004322); Prominent nasal tip (HP:0005274); Attention deficit hyperactivity disorder (HP:0007018); Bipolar affective disorder (HP:0007302); Abnormal cardiovascular system morphology (HP:0030680); Schizophrenia (HP:0100753),Unknown,,612001
96072,"4p16.3 microduplication syndrome is a rare genetic syndrome that results from the partial duplication of the short arm of chromosome 4. It has a highly variable phenotype, principally characterized by psychomotor and language delay, seizures and dysmorphic features such as high forehead with frontal bossing, hypertelorism, prominent glabella, long narrow palpebral fissures, low set ears and short neck. Eye abnormalities (glaucoma, irregular iris pigmentation, hyperopia) have also been reported.",,,,,Unknown,,
139474,17q11.2 microduplication syndrome is characterized by dysmorphic features and intellectual deficit.,,,Microcephaly (HP:0000252); Abnormality of dental enamel (HP:0000682); Intellectual disability (HP:0001249); Global developmental delay (HP:0001263); Short stature (HP:0004322); Enamel hypoplasia (HP:0006297),Macroorchidism (HP:0000053); Thin vermilion border (HP:0000233); Malar flattening (HP:0000272); Sparse eyelashes (HP:0000653); Delayed speech and language development (HP:0000750); Seizure (HP:0001250); Deviated nasal septum (HP:0004411); Thick nasal alae (HP:0009928); Bifid nose (HP:0011803); Sparse eyebrow (HP:0045075),<1 / 1 000 000,18183042,618874
261257,"Distal 17p13.3 microdeletion syndrome is a rare partial monosomy of the short arm of chromosome 17 with a variable phenotype characterized by prenatal and postnatal growth retardation, developmental delay, mild intellectual disability, macrocephaly, mild facial dysmorphisms including prominent forehead, hypertelorism, thick upper and/or lower lip vermillion, and structural abnormalities of the brain variably including white matter abnormalities, prominent Virchow-Robin spaces, Chiari I malformation, corpus callosum hypoplasia, but no lissencephaly.",,,,,<1 / 1 000 000,20599530,
531,"Miller-Dieker Syndrome (MDS) is a contiguous gene deletion syndrome of chromosome 17p13.3, characterised by classical lissencephaly (lissencephaly type 1) and distinct facial features. Additional congenital malformations can be part of the condition.",,Abnormality of upper lip (HP:0000177); Epicanthus (HP:0000286); High forehead (HP:0000348); Anteverted nares (HP:0000463); Seizure (HP:0001250); Lissencephaly (HP:0001339); Growth delay (HP:0001510); Cerebral cortical atrophy (HP:0002120); EEG abnormality (HP:0002353); Short nose (HP:0003196),Polyhydramnios (HP:0001561); Abnormality of the cardiovascular system (HP:0001626),Nephropathy (HP:0000112); Sacral dimple (HP:0000960); Ataxia (HP:0001251); Omphalocele (HP:0001539); Hypoplasia of the corpus callosum (HP:0002079); Clinodactyly of the 5th finger (HP:0004209),Unknown,,247200
567,"A rare chromosomal anomaly which causes a congenital malformation disorder that is typically characterized by cardiac defects, palatal anomalies, facial dysmorphism, developmental delay and immune deficiency.",,Cleft palate (HP:0000175); Epicanthus (HP:0000286); Low-set ears (HP:0000369); Conductive hearing impairment (HP:0000405); Bulbous nose (HP:0000414); Prominent nasal bridge (HP:0000426); Wide nasal bridge (HP:0000431); Telecanthus (HP:0000506); Upslanted palpebral fissure (HP:0000582); Abnormality of the pharynx (HP:0000600); Hypoplasia of the thymus (HP:0000778); Hypotonia (HP:0001252); Hypernasal speech (HP:0001611); Ventricular septal defect (HP:0001629); Atrial septal defect (HP:0001631); Tetralogy of Fallot (HP:0001636); Abnormal pulmonary valve morphology (HP:0001641); Truncus arteriosus (HP:0001660); Abnormal facial shape (HP:0001999); Aphasia (HP:0002381); Platybasia (HP:0002691); Immunodeficiency (HP:0002721); Abnormal aortic arch morphology (HP:0012303); Abnormal cardiovascular system morphology (HP:0030680),"Posterior embryotoxon (HP:0000627); Carious teeth (HP:0000670); Anxiety (HP:0000739); Hypoparathyroidism (HP:0000829); Abnormal skull morphology (HP:0000929); Seborrheic dermatitis (HP:0001051); Acne (HP:0001061); Arachnodactyly (HP:0001166); Intellectual disability, mild (HP:0001256); Global developmental delay (HP:0001263); Tetany (HP:0001281); Specific learning disability (HP:0001328); Constipation (HP:0002019); Meningocele (HP:0002435); Scoliosis (HP:0002650); Hypocalcemia (HP:0002901); Myalgia (HP:0003326); Short stature (HP:0004322); Impaired T cell function (HP:0005435); Attention deficit hyperactivity disorder (HP:0007018); Corneal neovascularization (HP:0011496); Anorectal anomaly (HP:0012732); Abnormality of the tonsils (HP:0100765); Renal hypoplasia (HP:0000089); Abnormality of the dentition (HP:0000164); Malar flattening (HP:0000272); Long face (HP:0000276); Long philtrum (HP:0000343); Hearing impairment (HP:0000365); Small earlobe (HP:0000385); Chronic otitis media (HP:0000389); Overfolded helix (HP:0000396); Short neck (HP:0000470); Abnormal eyelid morphology (HP:0000492); Ptosis (HP:0000508)",Inguinal hernia (HP:0000023); Cryptorchidism (HP:0000028); Hypospadias (HP:0000047); Vesicoureteral reflux (HP:0000076); Polycystic kidney dysplasia (HP:0000113); Abnormality of the uterus (HP:0000130); Narrow mouth (HP:0000160); Hydrocephalus (HP:0000238); Microcephaly (HP:0000252); Turricephaly (HP:0000262); Hypertelorism (HP:0000316); Short philtrum (HP:0000322); Micrognathia (HP:0000347); Choanal atresia (HP:0000453); Strabismus (HP:0000486); Downslanted palpebral fissures (HP:0000494); Glaucoma (HP:0000501); Cataract (HP:0000518); Microphthalmia (HP:0000568); Optic atrophy (HP:0000648); Abnormality of dental enamel (HP:0000682); Atypical behavior (HP:0000708); Depression (HP:0000716); Autism (HP:0000717); Abnormal thorax morphology (HP:0000765); Hypothyroidism (HP:0000821); Hyperthyroidism (HP:0000836); Purpura (HP:0000979); Hypopigmented skin patches (HP:0001053); Cholelithiasis (HP:0001081); Retinal arteriolar tortuosity (HP:0001136); Hand polydactyly (HP:0001161); Intellectual disability (HP:0001249); Seizure (HP:0001250); Parkinsonism (HP:0001300); Arthritis (HP:0001369); Failure to thrive (HP:0001508); Intrauterine growth retardation (HP:0001511); Obesity (HP:0001513); Umbilical hernia (HP:0001537); Polyhydramnios (HP:0001561); Laryngomalacia (HP:0001601); Patent ductus arteriosus (HP:0001643); Abnormal aortic valve morphology (HP:0001646); Splenomegaly (HP:0001744); Talipes equinovarus (HP:0001762); Foot polydactyly (HP:0001829); Abnormality of thrombocytes (HP:0001872); Thrombocytopenia (HP:0001873); Gastroesophageal reflux (HP:0002020); Anal atresia (HP:0002023); Asthma (HP:0002099); Abnormal lung lobation (HP:0002101); Arrhinencephaly (HP:0002139); Gastrointestinal hemorrhage (HP:0002239); Aganglionic megacolon (HP:0002251); Spina bifida (HP:0002414); Intestinal malrotation (HP:0002566); Bowel incontinence (HP:0002607); Varicose veins (HP:0002619); Autoimmunity (HP:0002960); Patellar dislocation (HP:0002999); Multiple renal cysts (HP:0005562); Joint hyperflexibility (HP:0005692); Chronic pulmonary obstruction (HP:0006510); Bipolar affective disorder (HP:0007302); Feeding difficulties in infancy (HP:0008872); Multiple suture craniosynostosis (HP:0011324); Tricuspid atresia (HP:0011662); Hypertensive crisis (HP:0100735); Atelectasis (HP:0100750); Schizophrenia (HP:0100753),1-5 / 10 000,21570089,125520; 192430; 188400
97685,"17q11 microdeletion syndrome is a rare severe form of neurofibromatosis type 1 (NF1) characterized by mild facial dysmorphism, developmental delay, intellectual disability, increased risk of malignancies, and a large number of neurofibromas.",,Impaired social interactions (HP:0000735); Short attention span (HP:0000736); Freckling (HP:0001480); Multiple cafe-au-lait spots (HP:0007565),Abnormality of the face (HP:0000271); Progressive visual loss (HP:0000529); Atypical behavior (HP:0000708); Hypertension (HP:0000822); Thickened skin (HP:0001072); Specific learning disability (HP:0001328); Abnormal heart morphology (HP:0001627); Abnormal facial shape (HP:0001999); Migraine (HP:0002076); Headache (HP:0002315); Memory impairment (HP:0002354); Sleep abnormality (HP:0002360); Language impairment (HP:0002463); Beaking of vertebral bodies T12-L3 (HP:0004562); Plexiform neurofibroma (HP:0009732); Lisch nodules (HP:0009737); Abnormality of central motor function (HP:0011442); Nevus anemicus (HP:0025105); Telangiectasia of the skin (HP:0100585); Papule (HP:0200034); Brain imaging abnormality (HP:0410263),Broad forehead (HP:0000337); Strabismus (HP:0000486); Deeply set eye (HP:0000490); Glaucoma (HP:0000501); Proptosis (HP:0000520); Abnormal choroid morphology (HP:0000610); Blindness (HP:0000618); Autistic behavior (HP:0000729); Delayed puberty (HP:0000823); Abnormality of the vertebral column (HP:0000925); Thickened cortex of long bones (HP:0000935); Osteopenia (HP:0000938); Osteoporosis (HP:0000939); Hypermelanotic macule (HP:0001034); Large hands (HP:0001176); Intellectual disability (HP:0001249); Seizure (HP:0001250); Global developmental delay (HP:0001263); Polyneuropathy (HP:0001271); Stroke (HP:0001297); Intrauterine growth retardation (HP:0001511); Hypertrophic cardiomyopathy (HP:0001639); Pulmonic stenosis (HP:0001642); Coarctation of aorta (HP:0001680); Long foot (HP:0001833); Renal artery stenosis (HP:0001920); Abnormal lung morphology (HP:0002088); Pulmonary arterial hypertension (HP:0002092); Scoliosis (HP:0002650); Osteolysis (HP:0002797); Kyphosis (HP:0002808); Elevated circulating parathyroid hormone level (HP:0003165); Short stature (HP:0004322); Dilatation of the cerebral artery (HP:0004944); Recurrent subcortical infarcts (HP:0007236); Focal-onset seizure (HP:0007359); Atypical neurofibromatosis (HP:0007524); Retinal vascular proliferation (HP:0007850); Glioma (HP:0009733); Optic nerve glioma (HP:0009734); Cerebellar glioma (HP:0010795); Brainstem glioma (HP:0010796); Cerebral artery stenosis (HP:0012492); Pain (HP:0012531); Brain neoplasm (HP:0030692); Multiple mucosal neuromas (HP:0031023); Narrowing of medullary canal (HP:0032458); Schwannoma (HP:0100008); Neurofibrosarcoma (HP:0100697); Renovascular hypertension (HP:0100817); Abnormality of the sphenoid sinus (HP:0430022); Abnormal internal carotid artery morphology (HP:3000062),Unknown,,613675
3306,"A rare, complex chromosomal duplication/inversion in the region 15q11.2-q13.1 characterized by early central hypotonia, global developmental delay and intellectual deficit, autistic behavior, and seizures.",,Autistic behavior (HP:0000729); Generalized hypotonia (HP:0001290); Joint hypermobility (HP:0001382); Drooling (HP:0002307),Abnormal repetitive mannerisms (HP:0000733); Hyperactivity (HP:0000752); Seizure (HP:0001250); Severe expressive language delay (HP:0006863); Echolalia (HP:0010529); Severe receptive language delay (HP:0011352); Feeding difficulties (HP:0011968); Self-biting (HP:0012169); Neurodevelopmental delay (HP:0012758),"Hypogonadism (HP:0000135); High palate (HP:0000218); Brachycephaly (HP:0000248); Microcephaly (HP:0000252); Epicanthus (HP:0000286); Short philtrum (HP:0000322); Low-set, posteriorly rotated ears (HP:0000368); Broad nasal tip (HP:0000455); Strabismus (HP:0000486); Deeply set eye (HP:0000490); Downslanted palpebral fissures (HP:0000494); Synophrys (HP:0000664); Aggressive behavior (HP:0000718); Brachydactyly (HP:0001156); Growth delay (HP:0001510); Abnormal facial shape (HP:0001999); Clinodactyly of the 5th finger (HP:0004209); 2-3 toe syndactyly (HP:0004691); Abnormality of brain morphology (HP:0012443)",1-9 / 100 000,11579431,
1606,"A rare chromosomal anomaly characterized by distinctive facial dysmorphic features, hypotonia, developmental delay, intellectual disability, seizures, heart defects, poor/absent speech, and prenatal onset growth deficiency.",,Pointed chin (HP:0000307); Long philtrum (HP:0000343); Wide nasal bridge (HP:0000431); Deeply set eye (HP:0000490); Delayed speech and language development (HP:0000750); Brachydactyly (HP:0001156); Intellectual disability (HP:0001249); Hypotonia (HP:0001252); Global developmental delay (HP:0001263); Agenesis of corpus callosum (HP:0001274); Gait disturbance (HP:0001288); Absent speech (HP:0001344); Failure to thrive (HP:0001508); Short foot (HP:0001773); Ventriculomegaly (HP:0002119); Cerebral cortical atrophy (HP:0002120); Abnormality of speech or vocalization (HP:0002167); EEG abnormality (HP:0002353); Poor speech (HP:0002465); Horizontal eyebrow (HP:0011228); Midface retrusion (HP:0011800); Camptodactyly of finger (HP:0100490),"Narrow mouth (HP:0000160); Brachycephaly (HP:0000248); Microcephaly (HP:0000252); Delayed cranial suture closure (HP:0000270); Epicanthus (HP:0000286); Low-set, posteriorly rotated ears (HP:0000368); Depressed nasal ridge (HP:0000457); Strabismus (HP:0000486); Abnormality of vision (HP:0000504); Abnormal eyebrow morphology (HP:0000534); Atypical behavior (HP:0000708); Autism (HP:0000717); Abnormal repetitive mannerisms (HP:0000733); Seizure (HP:0001250); Dysphagia (HP:0002015); Constipation (HP:0002019); Gastroesophageal reflux (HP:0002020); Clinodactyly of the 5th finger (HP:0004209); Depressed nasal bridge (HP:0005280); High hypermetropia (HP:0008499); Feeding difficulties in infancy (HP:0008872); Abnormal cardiovascular system morphology (HP:0030680); Self-injurious behavior (HP:0100716)",Cryptorchidism (HP:0000028); Hypospadias (HP:0000047); Abnormality of female external genitalia (HP:0000055); Abnormality of the kidney (HP:0000077); Renal cyst (HP:0000107); Hydronephrosis (HP:0000126); Hypogonadism (HP:0000135); Conductive hearing impairment (HP:0000405); Sensorineural hearing impairment (HP:0000407); Abnormality of the neck (HP:0000464); Visual impairment (HP:0000505); Cataract (HP:0000518); Nystagmus (HP:0000639); Optic atrophy (HP:0000648); Hypothyroidism (HP:0000821); 11 pairs of ribs (HP:0000878); Bifid ribs (HP:0000892); Rib fusion (HP:0000902); Telangiectasia (HP:0001009); Ocular albinism (HP:0001107); Hip dysplasia (HP:0001385); Joint stiffness (HP:0001387); Abnormality of the liver (HP:0001392); Hepatic steatosis (HP:0001397); Obesity (HP:0001513); Tetralogy of Fallot (HP:0001636); Patent ductus arteriosus (HP:0001643); Dilated cardiomyopathy (HP:0001644); Abnormal heart valve morphology (HP:0001654); Abnormal cardiac septum morphology (HP:0001671); Annular pancreas (HP:0001734); Abnormality of the spleen (HP:0001743); Foot polydactyly (HP:0001829); Frontal bossing (HP:0002007); Pyloric stenosis (HP:0002021); Generalized hirsutism (HP:0002230); Abnormal intestine morphology (HP:0002242); Polyphagia (HP:0002591); Scoliosis (HP:0002650); Abnormality of the immune system (HP:0002715); Kyphosis (HP:0002808); Neuroblastoma (HP:0003006); Myopathy (HP:0003198); Spinal canal stenosis (HP:0003416); Short stature (HP:0004322); Hemiplegia/hemiparesis (HP:0004374); Abnormality of the anus (HP:0004378); Dilatation of the aortic arch (HP:0005113); Cranial nerve paralysis (HP:0006824); Abnormal blistering of the skin (HP:0008066); Microtia (HP:0008551); Hypoplasia of penis (HP:0008736); Macule (HP:0012733); Lower limb asymmetry (HP:0100559),Unknown,,616975; 607872
261243,"16p13.11 microduplication syndrome is a recently described syndrome associated with variable clinical features including behavioral abnormalities, developmental delay, congenital heart defects and skeletal anomalies.",,,Hand polydactyly (HP:0001161); Intellectual disability (HP:0001249); Global developmental delay (HP:0001263); Language impairment (HP:0002463); Joint hyperflexibility (HP:0005692); Attention deficit hyperactivity disorder (HP:0007018),Dolichocephaly (HP:0000268); Autism (HP:0000717); Aggressive behavior (HP:0000718); Pectus excavatum (HP:0000767); Arachnodactyly (HP:0001166); Craniosynostosis (HP:0001363); Ventricular septal defect (HP:0001629); Atrial septal defect (HP:0001631); Tetralogy of Fallot (HP:0001636); Transposition of the great arteries (HP:0001669); Coarctation of aorta (HP:0001680); Pes planus (HP:0001763); Schizophrenia (HP:0100753),Unknown,27378146,
1001,"A rare chromosomal anomaly involving deletion of chromosome band 2q37 and characterized by a broad spectrum of clinical findings including mild-moderate developmental delay/intellectual disability, brachymetaphalangy of digits 3-5, short stature, obesity, hypotonia, specific facial dysmorphism, abnormal behavior, autism or autism spectrum disorder, joint hypermobility/dislocation, and scoliosis.",,Round face (HP:0000311); Intellectual disability (HP:0001249); Hypotonia (HP:0001252); Global developmental delay (HP:0001263); Midface retrusion (HP:0011800),Short stature (HP:0004322); Depressed nasal bridge (HP:0005280); Joint hyperflexibility (HP:0005692); Finger syndactyly (HP:0006101); Wide intermamillary distance (HP:0006610); Bilateral single transverse palmar creases (HP:0007598); Short metacarpal (HP:0010049); Broad columella (HP:0010761); Abnormal cardiovascular system morphology (HP:0030680); Sparse eyebrow (HP:0045075); Small hand (HP:0200055); Thin vermilion border (HP:0000233); Microcephaly (HP:0000252); Underdeveloped nasal alae (HP:0000430); Anteverted nares (HP:0000463); Deeply set eye (HP:0000490); Upslanted palpebral fissure (HP:0000582); Atypical behavior (HP:0000708); Eczematoid dermatitis (HP:0000964); Brachydactyly (HP:0001156); Seizure (HP:0001250); Obesity (HP:0001513); Umbilical hernia (HP:0001537); Toe syndactyly (HP:0001770); Short foot (HP:0001773); Frontal bossing (HP:0002007); Sparse scalp hair (HP:0002209); Highly arched eyebrow (HP:0002553); Supernumerary nipple (HP:0002558); Downturned corners of mouth (HP:0002714); Clinodactyly of the 5th finger (HP:0004209); Short palm (HP:0004279),Multicystic kidney dysplasia (HP:0000003); Macrocephaly (HP:0000256); Conductive hearing impairment (HP:0000405); Short neck (HP:0000470); Autism (HP:0000717); Obsessive-compulsive behavior (HP:0000722); Abnormal repetitive mannerisms (HP:0000733); Congenital diaphragmatic hernia (HP:0000776); Laryngomalacia (HP:0001601); Abnormal aortic morphology (HP:0001679); Pyloric stenosis (HP:0002021); Sleep abnormality (HP:0002360); Nephroblastoma (HP:0002667); Tracheomalacia (HP:0002779); Attention deficit hyperactivity disorder (HP:0007018),<1 / 1 000 000,36833393,600430
276422,"A rare, chromosomal anomaly characterized by variable clinical features that may include developmental delay, mild intellectual disability and dysmorphic facial features. In some cases, microcephaly, growth retardation and congenital heart defects have been reported.",,Deeply set eye (HP:0000490),Hypospadias (HP:0000047); Ambiguous genitalia (HP:0000062); Abnormality of the dentition (HP:0000164); Microcephaly (HP:0000252); Abnormality of the philtrum (HP:0000288); Full cheeks (HP:0000293); Microretrognathia (HP:0000308); Broad forehead (HP:0000337); Strabismus (HP:0000486); Upslanted palpebral fissure (HP:0000582); Hypotelorism (HP:0000601); Intellectual disability (HP:0001249); Global developmental delay (HP:0001263); Aphasia (HP:0002381); Abnormal cardiovascular system morphology (HP:0030680),Low-set ears (HP:0000369); Chronic otitis media (HP:0000389); Abnormal rib morphology (HP:0000772); Abnormality of the clavicle (HP:0000889); Tetralogy of Fallot (HP:0001636),Unknown,,
261272,"17q12 microduplication syndrome is a rare chromosomal anomaly with variable phenotypic expression and reduced penetrance associated with developmental delay, mild to severe intellectual disability, speech delay, seizures, microcephaly, behavioral abnormalities, autism spectrum disorder, eye or vision defects (such as strabismus, astigmatism, amblyopia, cataract, coloboma, and microphthalmia), non-specific dysmorphic features, hypotonia, cardiac and renal anomalies, schizophrenia.",,,Cortical dysplasia (HP:0002539),Cleft palate (HP:0000175); Deeply set eye (HP:0000490); Glaucoma (HP:0000501); Microphthalmia (HP:0000568); Synophrys (HP:0000664); Delayed speech and language development (HP:0000750); Intellectual disability (HP:0001249); Seizure (HP:0001250); Polyhydramnios (HP:0001561); Atrial septal defect (HP:0001631); Toe syndactyly (HP:0001770); Language impairment (HP:0002463); Tracheoesophageal fistula (HP:0002575); Abnormal vertebral morphology (HP:0003468); Finger syndactyly (HP:0006101); Self-injurious behavior (HP:0100716),<1 / 1 000 000,27409573,614526
261236,"16p13.11 microdeletion syndrome is a recently described syndrome characterized by developmental delay, microcephaly, epilepsy, short stature, facial dysmorphism and behavioral problems.",,"Delayed speech and language development (HP:0000750); Global developmental delay (HP:0001263); Specific learning disability (HP:0001328); Intellectual disability, severe (HP:0010864)",Microcephaly (HP:0000252); Anteverted nares (HP:0000463); Generalized-onset seizure (HP:0002197); Short nose (HP:0003196); Short stature (HP:0004322),Cryptorchidism (HP:0000028); Wide mouth (HP:0000154); Cleft palate (HP:0000175); Cleft upper lip (HP:0000204); Thin upper lip vermilion (HP:0000219); Smooth philtrum (HP:0000319); Low-set ears (HP:0000369); Preauricular skin tag (HP:0000384); Sensorineural hearing impairment (HP:0000407); Atresia of the external auditory canal (HP:0000413); Downslanted palpebral fissures (HP:0000494); Obsessive-compulsive behavior (HP:0000722); Pectus excavatum (HP:0000767); Agenesis of corpus callosum (HP:0001274); Hypertonia (HP:0001276); Holoprosencephaly (HP:0001360); Ventricular septal defect (HP:0001629); Atrial septal defect (HP:0001631); Talipes equinovarus (HP:0001762); Gastroesophageal reflux (HP:0002020); Ventriculomegaly (HP:0002119); Exaggerated cupid's bow (HP:0002263); Abnormality of neuronal migration (HP:0002269); EEG abnormality (HP:0002353); Depressed nasal bridge (HP:0005280); Cyclopia (HP:0009914); Metatarsus valgus (HP:0010508); Feeding difficulties (HP:0011968); Camptodactyly of finger (HP:0100490); Self-injurious behavior (HP:0100716); Schizophrenia (HP:0100753),1-9 / 100 000,24105370,
261222,"Distal 16p11.2 microdeletion syndrome is a rare chromosomal anomaly syndrome resulting from the partial deletion of the short arm of chromosome 16 with a highly variable phenotype typically characterized by developmental delay, mild intellectual disability and autism spectrum disorder. Macrocephaly (apparent by 2 years of age), structural brain malformations, epilepsy, vertebral anomalies and obesity are frequently associated.",,Narrow mouth (HP:0000160); Low anterior hairline (HP:0000294); Oval face (HP:0000300); Prominent nasal bridge (HP:0000426); Rod-cone dystrophy (HP:0000510); Retinal dystrophy (HP:0000556); Delayed speech and language development (HP:0000750); Global developmental delay (HP:0001263); Arachnodactyly (HP:0001166); Neonatal hypotonia (HP:0001319); Attention deficit hyperactivity disorder (HP:0007018),Vesicoureteral reflux (HP:0000076); Abnormality of the kidney (HP:0000077); Proteinuria (HP:0000093); Renal agenesis (HP:0000104); Autistic behavior (HP:0000729); Intellectual disability (HP:0001249); Seizure (HP:0001250); Obesity (HP:0001513); Hyperuricemia (HP:0002149); Aganglionic megacolon (HP:0002251); Moderate receptive language delay (HP:0011351); Chronic constipation (HP:0012450); Chronic kidney disease (HP:0012622),Migraine (HP:0002076); Kyphosis (HP:0002808),Unknown,,613444
1727,"A rare chromosomal anomaly characterized by an extremely variable clinical phenotype and may include heart defects, urogenital abnormalities, velopharyngeal insufficiency with or without cleft palate, and ranging from multiple defects to mild learning difficulties with some individuals being essentially normal.",,,Cleft palate (HP:0000175); Narrow face (HP:0000275); Epicanthus (HP:0000286); Hypertelorism (HP:0000316); High forehead (HP:0000348); Depressed nasal ridge (HP:0000457); Downslanted palpebral fissures (HP:0000494); Abnormality of the pharynx (HP:0000600); Delayed speech and language development (HP:0000750); Intellectual disability (HP:0001249); Hypotonia (HP:0001252); Global developmental delay (HP:0001263); Hypernasal speech (HP:0001611); Abnormality of speech or vocalization (HP:0002167); Midface retrusion (HP:0011800),Hydronephrosis (HP:0000126); Microcephaly (HP:0000252); Smooth philtrum (HP:0000319); Micrognathia (HP:0000347); Hearing impairment (HP:0000365); Wide nose (HP:0000445); Ptosis (HP:0000508); Autism (HP:0000717); Obsessive-compulsive behavior (HP:0000722); Abnormal repetitive mannerisms (HP:0000733); Anxiety (HP:0000739); Seizure (HP:0001250); Growth delay (HP:0001510); Ventricular septal defect (HP:0001629); Tetralogy of Fallot (HP:0001636); Transposition of the great arteries (HP:0001669); Scoliosis (HP:0002650); Hypoplastic left heart (HP:0004383); Attention deficit hyperactivity disorder (HP:0007018); Urethral stenosis (HP:0008661); Anterior creases of earlobe (HP:0009908); Aplasia/Hypoplasia of the thymus (HP:0010515); Abnormality of immune system physiology (HP:0010978); Interrupted aortic arch (HP:0011611); Displacement of the urethral meatus (HP:0100627),Unknown,36735193,608363
261102,"Distal 7q11.23 microduplication syndrome is a rare chromosomal anomaly characterized by a predominantly neuropsychiatric phenotype with a few dysmorphic characteristics. Speech delay, learning difficulties, attention deficit hyperactivity disorder, bipolar disorder and aggressiveness have been reported.",,"Delayed speech and language development (HP:0000750); Intellectual disability, mild (HP:0001256); Aortic aneurysm (HP:0004942)",Cryptorchidism (HP:0000028); Autistic behavior (HP:0000729); Anxiety (HP:0000739); Congenital diaphragmatic hernia (HP:0000776); Hypotonia (HP:0001252); Attention deficit hyperactivity disorder (HP:0007018),Hydrocephalus (HP:0000238); Patent ductus arteriosus (HP:0001643); Chiari malformation (HP:0002308); Frontal encephalocele (HP:0007330); Benign neoplasm of the central nervous system (HP:0100835),<1 / 1 000 000,,
254351,"Distal 7q11.23 microdeletion syndrome is a rare chromosomal anomaly characterized by epilepsy, neurodevelopmental disorder variably including developmental delays and intellectual disabilities of variable severity, learning disability and neurobehavioral abnormalities (autism spectrum disorder, hyperactivity, impulsivity, aggression, self-abusive behaviors, depression).",,,Intellectual disability (HP:0001249); Seizure (HP:0001250); Specific learning disability (HP:0001328),Microcephaly (HP:0000252); Autism (HP:0000717); Aggressive behavior (HP:0000718); Atrial septal defect (HP:0001631); Patent ductus arteriosus (HP:0001643); Porencephaly (HP:0002132); Chiari malformation (HP:0002308); Attention deficit hyperactivity disorder (HP:0007018); Bipolar affective disorder (HP:0007302),<1 / 1 000 000,,613729
217385,17p13.3 microduplication syndrome is characterized by variable psychomotor delay and dysmorphic features.,,Narrow mouth (HP:0000160); Hypertelorism (HP:0000316); High forehead (HP:0000348); Wide nose (HP:0000445); Hypotonia (HP:0001252); Global developmental delay (HP:0001263); Frontal bossing (HP:0002007); Short nose (HP:0003196),Low-set ears (HP:0000369); Short neck (HP:0000470); Downslanted palpebral fissures (HP:0000494),Inguinal hernia (HP:0000023); Tall stature (HP:0000098); High palate (HP:0000218); Congenital hip dislocation (HP:0001374); Hypoplasia of the corpus callosum (HP:0002079); Ventriculomegaly (HP:0002119); Clinodactyly of the 5th finger (HP:0004209); Hypoplasia of penis (HP:0008736),<1 / 1 000 000,,613215
238446,"The 15q11-q13 microduplication (dup15q11-q13) syndrome is characterized by neurobehavioral disorders, hypotonia, cognitive deficit, language delay and seizures. Prevalence is unknown.",,Obsessive-compulsive behavior (HP:0000722); Delayed speech and language development (HP:0000750); Intellectual disability (HP:0001249); Hypotonia (HP:0001252); Global developmental delay (HP:0001263); Attention deficit hyperactivity disorder (HP:0007018),Autism (HP:0000717); Seizure (HP:0001250); Apraxia (HP:0002186); Clinodactyly of the 5th finger (HP:0004209),Macrocephaly (HP:0000256); Epicanthus (HP:0000286); Mask-like facies (HP:0000298); Downslanted palpebral fissures (HP:0000494); Ataxia (HP:0001251); Short stature (HP:0004322); Joint hyperflexibility (HP:0005692); Finger syndactyly (HP:0006101); Abnormal cardiovascular system morphology (HP:0030680),<1 / 1 000 000,,608636
