symbol	name	entrez_id	ensembl_gene_id	uniprot_ids
AAMP	angio associated migratory cell protein	14	ENSG00000127837	Q13685
AANAT	aralkylamine N-acetyltransferase	15	ENSG00000129673	Q16613
AAR2	AAR2 splicing factor	25980	ENSG00000131043	Q9Y312
AARD	alanine and arginine rich domain containing protein	441376	ENSG00000205002	Q4LEZ3
AARS1	alanyl-tRNA synthetase 1	16	ENSG00000090861	P49588
AARS1P1	alanyl-tRNA synthetase 1 pseudogene 1	106480683	ENSG00000249038	
AARS2	alanyl-tRNA synthetase 2, mitochondrial	57505	ENSG00000124608	Q5JTZ9
AARSD1	alanyl-tRNA synthetase domain containing 1	80755	ENSG00000266967	Q9BTE6
AARSD1P1	AARSD1 pseudogene 1	117981788	ENSG00000234969	
AASDH	aminoadipate-semialdehyde dehydrogenase	132949	ENSG00000157426	Q4L235
AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	60496	ENSG00000149313	Q9NRN7
AASDHPPT-AS1	AASDHPPT antisense RNA 1		ENSG00000254433	
AASS	aminoadipate-semialdehyde synthase	10157	ENSG00000008311	Q9UDR5
AATBC	apoptosis associated transcript in bladder cancer	284837	ENSG00000215458	
AATF	apoptosis antagonizing transcription factor	26574	ENSG00000275700	Q9NY61
AATK	apoptosis associated tyrosine kinase	9625	ENSG00000181409	Q6ZMQ8
AAVS1	adeno-associated virus integration site 1	17		
ABAT	4-aminobutyrate aminotransferase	18	ENSG00000183044	P80404
ABCA1	ATP binding cassette subfamily A member 1	19	ENSG00000165029	O95477
ABCA2	ATP binding cassette subfamily A member 2	20	ENSG00000107331	Q9BZC7
ABCA3	ATP binding cassette subfamily A member 3	21	ENSG00000167972	Q99758
ABCA3P1	ABCA3 pseudogene 1	342293	ENSG00000257408	
ABCA4	ATP binding cassette subfamily A member 4	24	ENSG00000198691	P78363
ABCA5	ATP binding cassette subfamily A member 5	23461	ENSG00000154265	Q8WWZ7
ABCA6	ATP binding cassette subfamily A member 6	23460	ENSG00000154262	Q8N139
ABCA7	ATP binding cassette subfamily A member 7	10347	ENSG00000064687	Q8IZY2
ABCA8	ATP binding cassette subfamily A member 8	10351	ENSG00000141338	O94911
ABCA9	ATP binding cassette subfamily A member 9	10350	ENSG00000154258	Q8IUA7
ABCA9-AS1	ABCA9 antisense RNA 1	104355297	ENSG00000231749	
ABCA10	ATP binding cassette subfamily A member 10	10349	ENSG00000154263	Q8WWZ4
ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	79963	ENSG00000251595	
ABCA12	ATP binding cassette subfamily A member 12	26154	ENSG00000144452	Q86UK0
ABCA13	ATP binding cassette subfamily A member 13	154664	ENSG00000179869	Q86UQ4
ABCA15P	ATP binding cassette subfamily A member 15, pseudogene	400508	ENSG00000189149	
ABCA17P	ATP binding cassette subfamily A member 17, pseudogene	650655	ENSG00000238098	
ABCB1	ATP binding cassette subfamily B member 1	5243	ENSG00000085563	P08183
ABCB4	ATP binding cassette subfamily B member 4	5244	ENSG00000005471	P21439
ABCB5	ATP binding cassette subfamily B member 5	340273	ENSG00000004846	Q2M3G0
ABCB6	ATP binding cassette subfamily B member 6 (LAN blood group)	10058	ENSG00000115657	Q9NP58
ABCB7	ATP binding cassette subfamily B member 7	22	ENSG00000131269	O75027
ABCB8	ATP binding cassette subfamily B member 8	11194	ENSG00000197150	Q9NUT2
ABCB9	ATP binding cassette subfamily B member 9	23457	ENSG00000150967	Q9NP78
ABCB10	ATP binding cassette subfamily B member 10	23456	ENSG00000135776	Q9NRK6
ABCB10P1	ABCB10 pseudogene 1	56476	ENSG00000274099	
ABCB10P3	ABCB10 pseudogene 3	728248	ENSG00000261524	
ABCB10P4	ABCB10 pseudogene 4	100132289	ENSG00000260053	
ABCB11	ATP binding cassette subfamily B member 11	8647	ENSG00000073734	O95342
ABCC1	ATP binding cassette subfamily C member 1 (ABCC1 blood group)	4363	ENSG00000103222	P33527
ABCC2	ATP binding cassette subfamily C member 2	1244	ENSG00000023839	Q92887
ABCC3	ATP binding cassette subfamily C member 3	8714	ENSG00000108846	O15438
ABCC4	ATP binding cassette subfamily C member 4 (PEL blood group)	10257	ENSG00000125257	O15439
ABCC5	ATP binding cassette subfamily C member 5	10057	ENSG00000114770	O15440
ABCC5-AS1	ABCC5 antisense RNA 1	100873982	ENSG00000223882	
ABCC6	ATP binding cassette subfamily C member 6	368	ENSG00000091262	O95255
ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1	653190	ENSG00000256340	
ABCC6P2	ATP binding cassette subfamily C member 6 pseudogene 2	730013	ENSG00000255277	
ABCC8	ATP binding cassette subfamily C member 8	6833	ENSG00000006071	Q09428
ABCC9	ATP binding cassette subfamily C member 9	10060	ENSG00000069431	O60706
ABCC10	ATP binding cassette subfamily C member 10	89845	ENSG00000124574	Q5T3U5
ABCC11	ATP binding cassette subfamily C member 11	85320	ENSG00000121270	Q96J66
ABCC12	ATP binding cassette subfamily C member 12	94160	ENSG00000140798	Q96J65
ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)	150000	ENSG00000243064	
ABCD1	ATP binding cassette subfamily D member 1	215	ENSG00000101986	P33897
ABCD1P1	ATP binding cassette subfamily D member 1 pseudogene 1	23785		
ABCD1P2	ATP binding cassette subfamily D member 1 pseudogene 2	26983	ENSG00000215151	
ABCD1P3	ATP binding cassette subfamily D member 1 pseudogene 3	26982	ENSG00000261233	
ABCD1P4	ATP binding cassette subfamily D member 1 pseudogene 4	26957	ENSG00000225293	
ABCD1P5	ATP binding cassette subfamily D member 1 pseudogene 5	642762	ENSG00000214330	
ABCD2	ATP binding cassette subfamily D member 2	225	ENSG00000173208	Q9UBJ2
ABCD3	ATP binding cassette subfamily D member 3	5825	ENSG00000117528	P28288
ABCD4	ATP binding cassette subfamily D member 4	5826	ENSG00000119688	O14678
ABCE1	ATP binding cassette subfamily E member 1	6059	ENSG00000164163	P61221
ABCF1	ATP binding cassette subfamily F member 1	23	ENSG00000204574	Q8NE71
ABCF1-DT	ABCF1 divergent transcript	107986587		
ABCF2	ATP binding cassette subfamily F member 2	10061	ENSG00000033050	Q9UG63
ABCF2-H2BK1	ABCF2-H2BK1 readthrough	114483834	ENSG00000285292	
ABCF2P1	ATP binding cassette subfamily F member 2 pseudogene 1	344653	ENSG00000242159	
ABCF2P2	ATP binding cassette subfamily F member 2 pseudogene 2	100422059	ENSG00000228769	
ABCF3	ATP binding cassette subfamily F member 3	55324	ENSG00000161204	Q9NUQ8
ABCG1	ATP binding cassette subfamily G member 1	9619	ENSG00000160179	P45844
ABCG2	ATP binding cassette subfamily G member 2 (JR blood group)	9429	ENSG00000118777	Q9UNQ0
ABCG4	ATP binding cassette subfamily G member 4	64137	ENSG00000172350	Q9H172
ABCG5	ATP binding cassette subfamily G member 5	64240	ENSG00000138075	Q9H222
ABCG8	ATP binding cassette subfamily G member 8	64241	ENSG00000143921	Q9H221
ABHD1	abhydrolase domain containing 1	84696	ENSG00000143994	Q96SE0
ABHD2	abhydrolase domain containing 2, acylglycerol lipase	11057	ENSG00000140526	P08910
ABHD3	abhydrolase domain containing 3, phospholipase	171586	ENSG00000158201	Q8WU67
ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B	63874	ENSG00000100439	Q8TB40
ABHD5	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase	51099	ENSG00000011198	Q8WTS1
ABHD6	abhydrolase domain containing 6, acylglycerol lipase	57406	ENSG00000163686	Q9BV23
ABHD8	abhydrolase domain containing 8	79575	ENSG00000127220	Q96I13
ABHD10	abhydrolase domain containing 10, depalmitoylase	55347	ENSG00000144827	Q9NUJ1
ABHD11	abhydrolase domain containing 11	83451	ENSG00000106077	Q8NFV4
ABHD12	abhydrolase domain containing 12, lysophospholipase	26090	ENSG00000100997	Q8N2K0
ABHD12B	abhydrolase domain containing 12B	145447	ENSG00000131969	Q7Z5M8
ABHD13	abhydrolase domain containing 13	84945	ENSG00000139826	Q7L211
ABHD14A	abhydrolase domain containing 14A	25864	ENSG00000248487	Q9BUJ0
ABHD14A-ACY1	ABHD14A-ACY1 readthrough	100526760	ENSG00000114786	
ABHD14B	abhydrolase domain containing 14B	84836	ENSG00000114779	Q96IU4
ABHD15	abhydrolase domain containing 15	116236	ENSG00000168792	Q6UXT9
ABHD15-AS1	ABHD15 antisense RNA 1	104355133	ENSG00000264031	
ABHD16A	abhydrolase domain containing 16A, phospholipase	7920	ENSG00000204427	O95870
ABHD16B	abhydrolase domain containing 16B	140701	ENSG00000183260	Q9H3Z7
ABHD16B-AS1	ABHD16B antisense RNA 1	112268269	ENSG00000268858	
ABHD17A	abhydrolase domain containing 17A, depalmitoylase	81926	ENSG00000129968	Q96GS6
ABHD17AP1	ABHD17A pseudogene 1	728917	ENSG00000198658	
ABHD17AP3	ABHD17A pseudogene 3	648359	ENSG00000250536	
ABHD17AP4	ABHD17A pseudogene 4	729495	ENSG00000229107	
ABHD17AP5	ABHD17A pseudogene 5	91219	ENSG00000263366	
ABHD17AP6	ABHD17A pseudogene 6	644988	ENSG00000226981	
ABHD17AP7	ABHD17A pseudogene 7	100133212	ENSG00000260864	
ABHD17AP8	ABHD17A pseudogene 8	647144	ENSG00000260540	
ABHD17AP9	ABHD17A pseudogene 9	100132251	ENSG00000261536	
ABHD17B	abhydrolase domain containing 17B, depalmitoylase	51104	ENSG00000107362	Q5VST6
ABHD17C	abhydrolase domain containing 17C, depalmitoylase	58489	ENSG00000136379	Q6PCB6
ABHD18	abhydrolase domain containing 18	80167	ENSG00000164074	Q0P651
ABI1	abl interactor 1	10006	ENSG00000136754	Q8IZP0
ABI1P1	abl interactor 1 pseudogene 1	326268	ENSG00000271484	
ABI2	abl interactor 2	10152	ENSG00000138443	Q9NYB9
ABI3	ABI family member 3	51225	ENSG00000108798	Q9P2A4
ABI3BP	ABI family member 3 binding protein	25890	ENSG00000154175	Q7Z7G0
ABITRAM	actin binding transcription modulator	54942	ENSG00000119328	Q9NX38
ABITRAMP1	ABITRAM pseudogene 1	390403	ENSG00000251106	
ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	25	ENSG00000097007	P00519
ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	27	ENSG00000143322	P42684
ABLIM1	actin binding LIM protein 1	3983	ENSG00000099204	O14639
ABLIM2	actin binding LIM protein family member 2	84448	ENSG00000163995	Q6H8Q1
ABLIM3	actin binding LIM protein family member 3	22885	ENSG00000173210	O94929
ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	28	ENSG00000175164	P16442
ABR	ABR activator of RhoGEF and GTPase	29	ENSG00000159842	Q12979
ABR-AS1	ABR antisense RNA 1	105371479	ENSG00000235361	
ABRA	actin binding Rho activating protein	137735	ENSG00000174429	Q8N0Z2
ABRACL	ABRA C-terminal like	58527	ENSG00000146386	Q9P1F3
ABRAXAS1	abraxas 1, BRCA1 A complex subunit	84142	ENSG00000163322	Q6UWZ7
ABRAXAS1P1	ABRAXAS1 pseudogene 1	100421580	ENSG00000213431	
ABRAXAS1P2	ABRAXAS1 pseudogene 2	100133073	ENSG00000253384	
ABRAXAS2	abraxas 2, BRISC complex subunit	23172	ENSG00000165660	Q15018
ABT1	activator of basal transcription 1	29777	ENSG00000146109	Q9ULW3
ABT1P1	activator of basal transcription 1 pseudogene 1	100420695	ENSG00000250496	
ABTB1	ankyrin repeat and BTB domain containing 1	80325	ENSG00000114626	Q969K4
ABTB2	ankyrin repeat and BTB domain containing 2	25841	ENSG00000166016	Q8N961
ABTB3	ankyrin repeat and BTB domain containing 3	121551	ENSG00000151136	A6QL63
ACAA1	acetyl-CoA acyltransferase 1	30	ENSG00000060971	P09110
ACAA2	acetyl-CoA acyltransferase 2	10449	ENSG00000167315	P42765
ACAA2P1	ACAA2 pseudogene 1	100420869	ENSG00000233585	
ACACA	acetyl-CoA carboxylase alpha	31	ENSG00000278540	Q13085
ACACB	acetyl-CoA carboxylase beta	32	ENSG00000076555	O00763
ACAD8	acyl-CoA dehydrogenase family member 8	27034	ENSG00000151498	Q9UKU7
ACAD9	acyl-CoA dehydrogenase family member 9	28976	ENSG00000177646	Q9H845
ACAD9-DT	ACAD9 divergent transcript	123706524	ENSG00000287110	
ACAD10	acyl-CoA dehydrogenase family member 10	80724	ENSG00000111271	Q6JQN1
ACAD11	acyl-CoA dehydrogenase family member 11	84129	ENSG00000240303	Q709F0
ACADL	acyl-CoA dehydrogenase long chain	33	ENSG00000115361	P28330
ACADM	acyl-CoA dehydrogenase medium chain	34	ENSG00000117054	P11310
ACADS	acyl-CoA dehydrogenase short chain	35	ENSG00000122971	P16219
ACADSB	acyl-CoA dehydrogenase short/branched chain	36	ENSG00000196177	P45954
ACADVL	acyl-CoA dehydrogenase very long chain	37	ENSG00000072778	P49748
ACAN	aggrecan	176	ENSG00000157766	P16112
ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	9744	ENSG00000072818	Q15027
ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	23527	ENSG00000114331	Q15057
ACAP2-IT1	ACAP2 intronic transcript 1	100874306	ENSG00000229325	
ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	116983	ENSG00000131584	Q96P50
ACAT1	acetyl-CoA acetyltransferase 1	38	ENSG00000075239	P24752
ACAT2	acetyl-CoA acetyltransferase 2	39	ENSG00000120437	Q9BWD1
ACBD3	acyl-CoA binding domain containing 3	64746	ENSG00000182827	Q9H3P7
ACBD3-AS1	ACBD3 antisense RNA 1	107985353	ENSG00000234478	
ACBD4	acyl-CoA binding domain containing 4	79777	ENSG00000181513	Q8NC06
ACBD5	acyl-CoA binding domain containing 5	91452	ENSG00000107897	Q5T8D3
ACBD6	acyl-CoA binding domain containing 6	84320	ENSG00000230124	Q9BR61
ACBD7	acyl-CoA binding domain containing 7	414149	ENSG00000176244	Q8N6N7
ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	84680	ENSG00000110455	Q96QU6
ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like	390110	ENSG00000205126	Q4AC99
ACCSLP1	ACCSL pseudogene 1	100422646	ENSG00000230570	
ACD	ACD shelterin complex subunit and telomerase recruitment factor	65057	ENSG00000102977	Q96AP0
ACE	angiotensin I converting enzyme	1636	ENSG00000159640	P12821
ACE2	angiotensin converting enzyme 2	59272	ENSG00000130234	Q9BYF1
ACE2-DT	ACE2 divergent transcript	104798195	ENSG00000225833	
ACE3P	angiotensin I converting enzyme 3, pseudogene	100129123	ENSG00000224353	
ACER1	alkaline ceramidase 1	125981	ENSG00000167769	Q8TDN7
ACER2	alkaline ceramidase 2	340485	ENSG00000177076	Q5QJU3
ACER2P1	ACER2 pseudogene 1	645978	ENSG00000180105	
ACER3	alkaline ceramidase 3	55331	ENSG00000078124	Q9NUN7
ACER3-AS1	ACER antisense RNA 1	124902721	ENSG00000254988	
ACHE	acetylcholinesterase (Yt blood group)	43	ENSG00000087085	P22303
ACIN1	apoptotic chromatin condensation inducer 1	22985	ENSG00000100813	Q9UKV3
ACKR1	atypical chemokine receptor 1 (Duffy blood group)	2532	ENSG00000213088	Q16570
ACKR2	atypical chemokine receptor 2	1238	ENSG00000144648	O00590
ACKR3	atypical chemokine receptor 3	57007	ENSG00000144476	P25106
ACKR4	atypical chemokine receptor 4	51554	ENSG00000129048	Q9NPB9
ACKR4P1	ACKR4 pseudogene 1	285737	ENSG00000225415	
ACKR5	atypical chemokine receptor 5	11318	ENSG00000166856	O15218
ACLY	ATP citrate lyase	47	ENSG00000131473	P53396
ACMSD	aminocarboxymuconate semialdehyde decarboxylase	130013	ENSG00000153086	Q8TDX5
ACNATP	acyl-CoA:amino acid N-acyltransferase, pseudogene	347275	ENSG00000227411	
ACO1	aconitase 1	48	ENSG00000122729	P21399
ACO2	aconitase 2	50	ENSG00000100412	Q99798
ACO2P1	ACO2 pseudogene 1	441996	ENSG00000235485	
ACO2P2	ACO2 pseudogene 2	343508	ENSG00000235371	
ACOD1	aconitate decarboxylase 1	730249	ENSG00000102794	A6NK06
ACOT1	acyl-CoA thioesterase 1	641371	ENSG00000184227	Q86TX2
ACOT2	acyl-CoA thioesterase 2	10965	ENSG00000119673	P49753
ACOT4	acyl-CoA thioesterase 4	122970	ENSG00000177465	Q8N9L9
ACOT6	acyl-CoA thioesterase 6	641372	ENSG00000205669	Q3I5F7
ACOT7	acyl-CoA thioesterase 7	11332	ENSG00000097021	O00154
ACOT8	acyl-CoA thioesterase 8	10005	ENSG00000101473	O14734
ACOT9	acyl-CoA thioesterase 9	23597	ENSG00000123130	Q9Y305
ACOT11	acyl-CoA thioesterase 11	26027	ENSG00000162390	Q8WXI4
ACOT12	acyl-CoA thioesterase 12	134526	ENSG00000172497	Q8WYK0
ACOT13	acyl-CoA thioesterase 13	55856	ENSG00000112304	Q9NPJ3
ACOX1	acyl-CoA oxidase 1	51	ENSG00000161533	Q15067
ACOX2	acyl-CoA oxidase 2	8309	ENSG00000168306	Q99424
ACOX3	acyl-CoA oxidase 3, pristanoyl	8310	ENSG00000087008	O15254
ACOXL	acyl-CoA oxidase like	55289	ENSG00000153093	Q9NUZ1
ACOXL-AS1	ACOXL antisense RNA 1	400997	ENSG00000204581	
ACP1	acid phosphatase 1	52	ENSG00000143727	P24666
ACP2	acid phosphatase 2, lysosomal	53	ENSG00000134575	P11117
ACP3	acid phosphatase 3	55	ENSG00000014257	P15309
ACP4	acid phosphatase 4	93650	ENSG00000142513	Q9BZG2
ACP5	acid phosphatase 5, tartrate resistant	54	ENSG00000102575	P13686
ACP6	acid phosphatase 6, lysophosphatidic	51205	ENSG00000162836	Q9NPH0
ACP7	acid phosphatase 7, tartrate resistant (putative)	390928	ENSG00000183760	Q6ZNF0
ACR	acrosin	49	ENSG00000100312	P10323
ACRBP	acrosin binding protein	84519	ENSG00000111644	Q8NEB7
ACRP1	ACR pseudogene 1	645529	ENSG00000175509	
ACRV1	acrosomal vesicle protein 1	56	ENSG00000134940	P26436
ACSBG1	acyl-CoA synthetase bubblegum family member 1	23205	ENSG00000103740	Q96GR2
ACSBG2	acyl-CoA synthetase bubblegum family member 2	81616	ENSG00000130377	Q5FVE4
ACSF2	acyl-CoA synthetase family member 2	80221	ENSG00000167107	Q96CM8
ACSF3	acyl-CoA synthetase family member 3	197322	ENSG00000176715	Q4G176
ACSL1	acyl-CoA synthetase long chain family member 1	2180	ENSG00000151726	P33121
ACSL3	acyl-CoA synthetase long chain family member 3	2181	ENSG00000123983	O95573
ACSL3-AS1	ACSL3 antisense RNA 1	105373904	ENSG00000234193	
ACSL3P1	ACSL3 pseudogene 1	100421637	ENSG00000244062	
ACSL4	acyl-CoA synthetase long chain family member 4	2182	ENSG00000068366	O60488
ACSL5	acyl-CoA synthetase long chain family member 5	51703	ENSG00000197142	Q9ULC5
ACSL6	acyl-CoA synthetase long chain family member 6	23305	ENSG00000164398	Q9UKU0
ACSL6-AS1	ACSL6 antisense RNA 1	101927693	ENSG00000223548	
ACSM1	acyl-CoA synthetase medium chain family member 1	116285	ENSG00000166743	Q08AH1
ACSM2A	acyl-CoA synthetase medium chain family member 2A	123876	ENSG00000183747	Q08AH3
ACSM2B	acyl-CoA synthetase medium chain family member 2B	348158	ENSG00000066813	Q68CK6
ACSM3	acyl-CoA synthetase medium chain family member 3	6296	ENSG00000005187	Q53FZ2
ACSM4	acyl-CoA synthetase medium chain family member 4	341392	ENSG00000215009	P0C7M7
ACSM5	acyl-CoA synthetase medium chain family member 5	54988	ENSG00000183549	Q6NUN0
ACSM5P1	acyl-CoA synthetase medium chain family member 5 pseudogene 1	100421779	ENSG00000260762	
ACSM6	acyl-CoA synthetase medium chain family member 6	142827	ENSG00000173124	Q6P461
ACSS1	acyl-CoA synthetase short chain family member 1	84532	ENSG00000154930	Q9NUB1
ACSS2	acyl-CoA synthetase short chain family member 2	55902	ENSG00000131069	Q9NR19
ACSS3	acyl-CoA synthetase short chain family member 3	79611	ENSG00000111058	Q9H6R3
ACSS3-AS1	ACSS3 antisense RNA 1	107984535	ENSG00000258026	
ACTA1	actin alpha 1, skeletal muscle	58	ENSG00000143632	P68133
ACTA2	actin alpha 2, smooth muscle	59	ENSG00000107796	P62736
ACTA2-AS1	ACTA2 antisense RNA 1	100132116	ENSG00000180139	
ACTB	actin beta	60	ENSG00000075624	P60709
ACTBL2	actin beta like 2	345651	ENSG00000169067	Q562R1
ACTBP1	ACTB pseudogene 1	643309	ENSG00000229145	
ACTBP2	ACTB pseudogene 2	62	ENSG00000213763	
ACTBP3	ACTB pseudogene 3	63		
ACTBP4	ACTB pseudogene 4	64	ENSG00000286676	
ACTBP6	ACTB pseudogene 6	66	ENSG00000203413	
ACTBP7	ACTB pseudogene 7	67	ENSG00000185607	
ACTBP8	ACTB pseudogene 8	68	ENSG00000220267	
ACTBP9	ACTB pseudogene 9	69	ENSG00000266920	
ACTBP10	ACTB pseudogene 10	446207		
ACTBP11	ACTB pseudogene 11	644220	ENSG00000188460	
ACTBP12	ACTB pseudogene 12	100462767	ENSG00000233125	
ACTBP14	ACTB pseudogene 14	389976	ENSG00000229001	
ACTBP15	ACTB pseudogene 15	391334	ENSG00000213857	
ACTBP16	ACTB pseudogene 16	100132223	ENSG00000241473	
ACTC1	actin alpha cardiac muscle 1	70	ENSG00000159251	P68032
ACTE1P	actin epsilon 1, pseudogene	399923	ENSG00000172900	
ACTG1	actin gamma 1	71	ENSG00000184009	P63261
ACTG1P1	actin gamma 1 pseudogene 1	73	ENSG00000178631	
ACTG1P2	actin gamma 1 pseudogene 2	74	ENSG00000229129	
ACTG1P3	actin gamma 1 pseudogene 3	75	ENSG00000215388	
ACTG1P4	actin gamma 1 pseudogene 4	648740	ENSG00000236085	
ACTG1P6	actin gamma 1 pseudogene 6	78		
ACTG1P7	actin gamma 1 pseudogene 7	79		
ACTG1P8	actin gamma 1 pseudogene 8	80		
ACTG1P9	actin gamma 1 pseudogene 9	82	ENSG00000229349	
ACTG1P10	actin gamma 1 pseudogene 10	83	ENSG00000231340	
ACTG1P11	actin gamma 1 pseudogene 11	414754	ENSG00000229465	
ACTG1P12	actin gamma 1 pseudogene 12	100418921	ENSG00000226642	
ACTG1P13	actin gamma 1 pseudogene 13	100418920	ENSG00000241305	
ACTG1P14	actin gamma 1 pseudogene 14	100418910	ENSG00000230581	
ACTG1P15	actin gamma 1 pseudogene 15	100418951	ENSG00000259904	
ACTG1P16	actin gamma 1 pseudogene 16	100418960	ENSG00000260298	
ACTG1P17	actin gamma 1 pseudogene 17	283693	ENSG00000259315	
ACTG1P18	actin gamma 1 pseudogene 18	100418924	ENSG00000218475	
ACTG1P19	actin gamma 1 pseudogene 19	644160	ENSG00000237999	
ACTG1P20	actin gamma 1 pseudogene 20	644961	ENSG00000241547	
ACTG1P21	actin gamma 1 pseudogene 21	100131291	ENSG00000232672	
ACTG1P22	actin gamma 1 pseudogene 22	100131953	ENSG00000271615	
ACTG1P23	actin gamma 1 pseudogene 23	442097	ENSG00000230362	
ACTG1P24	actin gamma 1 pseudogene 24	441783	ENSG00000226359	
ACTG1P25	actin gamma 1 pseudogene 25	148709	ENSG00000234996	
ACTG2	actin gamma 2, smooth muscle	72	ENSG00000163017	P63267
ACTL6A	actin like 6A	86	ENSG00000136518	O96019
ACTL6B	actin like 6B	51412	ENSG00000077080	O94805
ACTL7A	actin like 7A	10881	ENSG00000187003	Q9Y615
ACTL7B	actin like 7B	10880	ENSG00000148156	Q9Y614
ACTL8	actin like 8	81569	ENSG00000117148	Q9H568
ACTL9	actin like 9	284382	ENSG00000181786	Q8TC94
ACTL10	actin like 10	170487	ENSG00000288649	Q5JWF8
ACTL11P	actin like 11, pseudogene	389120	ENSG00000234667	
ACTMAP	actin maturation protease	284325	ENSG00000188493	Q5BKX5
ACTN1	actinin alpha 1	87	ENSG00000072110	P12814
ACTN1-DT	ACTN1 divergent transcript	161159	ENSG00000259062	
ACTN2	actinin alpha 2	88	ENSG00000077522	P35609
ACTN3	actinin alpha 3	89	ENSG00000248746	Q08043
ACTN3-AS1	ACTN3 antisense RNA 1		ENSG00000250105	
ACTN4	actinin alpha 4	81	ENSG00000130402	O43707
ACTN4P1	actinin alpha 4 pseudogene 1	344978	ENSG00000213493	
ACTN4P2	actinin alpha 4 pseudogene 2	391026	ENSG00000214141	
ACTP1	actin family pseudogene 1	106480335	ENSG00000229890	
ACTR1A	actin related protein 1A	10121	ENSG00000138107	P61163
ACTR1AP1	ACTR1A pseudogene 1	100287074	ENSG00000233370	
ACTR1B	actin related protein 1B	10120	ENSG00000115073	P42025
ACTR2	actin related protein 2	10097	ENSG00000138071	P61160
ACTR2P1	ACTR2 pseudogene 1	100421614	ENSG00000224334	
ACTR2P2	ACTR2 pseudogene 2	284441	ENSG00000213985	
ACTR3	actin related protein 3	10096	ENSG00000115091	P61158
ACTR3-AS1	ACTR3 antisense RNA 1	101060091	ENSG00000228857	
ACTR3B	actin related protein 3B	57180	ENSG00000133627	Q9P1U1
ACTR3BP1	ACTR3B pseudogene 1	643050	ENSG00000270242	
ACTR3BP2	ACTR3B pseudogene 2	440888	ENSG00000226481	
ACTR3BP3	ACTR3B pseudogene 3	647156	ENSG00000260327	
ACTR3BP4	ACTR3B pseudogene 4	777774	ENSG00000249283	
ACTR3BP5	ACTR3B pseudogene 5	399746	ENSG00000227264	
ACTR3BP6	ACTR3B pseudogene 6	644773	ENSG00000280263	
ACTR3BP7	ACTR3B pseudogene 7	100289004	ENSG00000226444	
ACTR3C	actin related protein 3C	653857	ENSG00000106526	Q9C0K3
ACTR3P1	ACTR3 pseudogene 1	100288580		
